id,fecha,autor,rating,texto,canal,categoria_problema,subcategoria,sentimiento,impacto,menciona_tienda_fisica
1,2024-01-15,María G.,1,"Pésima atención al cliente. Compré unas zapatillas en la tienda de Fuencarral y a las dos semanas se descosió la suela. Fui a reclamar y me dijeron que no podían hacer nada sin el ticket. ¡El ticket que me dieron ellos!","Google Maps","Atención al Cliente","Reclamaciones presenciales","Negativo","Reputación, Fidelización",Sí
2,2024-01-18,Carlos M.,2,"La tienda está muy bien decorada y los productos son bonitos, pero cuando pregunté por mi pedido online me dijeron que no gestionan la web desde la tienda. ¿Para qué sirve la tienda entonces?","Google Maps","Atención al Cliente","Coordinación online-offline","Negativo","Fidelización, Ventas",Sí
3,2024-01-22,Lucía F.,5,"Increíble experiencia. El personal super amable, me ayudaron a encontrar mi talla perfecta y el producto es de muy buena calidad. Volvería sin duda.","Google Maps","Experiencia Positiva","Atención presencial","Positivo","Reputación",Sí
4,2024-01-25,Andrés P.,1,"Dos meses esperando un pedido que nunca llegó. Escribí 12 emails y solo recibí respuestas automáticas. Tuve que ir a la tienda de Fuencarral para que me devolvieran el dinero y ni así fue fácil.","Google Maps","Envíos y Logística","Pedidos perdidos","Negativo","Reputación, Ventas, Fidelización",Sí
5,2024-02-02,Sofía R.,1,"El servicio posventa es inexistente. Ni teléfono de contacto, ni responden al email, ni a los DMs de Instagram. La tienda física tampoco puede resolver nada online. Una vergüenza.","Google Maps","Atención al Cliente","Canales de comunicación","Negativo","Reputación, Fidelización",Sí
6,2024-02-05,Javier L.,3,"Producto muy bueno pero la espera en caja fue de más de 20 minutos. Solo había un cajero para toda la tienda. Mejorad la gestión del personal por favor.","Google Maps","Experiencia en Tienda","Tiempo de espera","Neutro","Fidelización",Sí
7,2024-02-10,Elena D.,4,"Me encantaron las sudaderas. El diseño es único y la calidad notablemente superior a otras marcas similares. Solo le quito una estrella porque el precio es algo elevado.","Google Maps","Experiencia Positiva","Producto","Positivo","Ventas",No
8,2024-02-14,Roberto S.,1,"La sudadera me llegó con un agujero. Contacté con atención al cliente y me ofrecieron solo un 15% de descuento en la próxima compra. ¿Por un producto defectuoso? Inaceptable.","Google Maps","Calidad de Producto","Producto defectuoso","Negativo","Reputación, Ventas",No
9,2024-02-18,Natalia B.,2,"Fui a la tienda con la intención de comprar pero no tenían mi talla en ningún modelo. Me dijeron que podía pedirlo online pero que tardaría entre 15-20 días. Para eso me quedo en casa.","Google Maps","Experiencia en Tienda","Stock y disponibilidad","Negativo","Ventas",Sí
10,2024-02-22,Miguel Á.,5,"Primera vez que compro y quedé encantado. La chaqueta es espectacular, llegó en 3 días y el packaging es muy cuidado. Ya tengo ganas de volver a comprar.","Google Maps","Experiencia Positiva","Envío rápido","Positivo","Fidelización",No
11,2024-03-01,Carmen T.,1,"Imposible devolver un artículo. Me piden que pague 12€ de portes para la devolución desde Madrid. ¿No es la tienda de Fuencarral precisamente en Madrid? ¿Por qué no puedo devolver allí?","Google Maps","Devoluciones","Política de devolución","Negativo","Reputación, Ventas",Sí
12,2024-03-05,Pablo H.,2,"Compré talla M y me enviaron talla S. Escribí al servicio de atención y tras 3 semanas sin respuesta tuve que abrir una disputa con mi banco. Pésima experiencia.","Google Maps","Envíos y Logística","Error en pedido","Negativo","Reputación, Ventas, Fidelización",No
13,2024-03-10,Isabel R.,5,"Staff super majo y servicial. La tienda tiene un rollo increíble y los productos son únicos. Compré unas zapatillas edición limitada que no encontraba en ningún sitio. 100% recomendable.","Google Maps","Experiencia Positiva","Producto exclusivo","Positivo","Reputación, Ventas",Sí
14,2024-03-15,Diego V.,1,"El chatbot de su web es completamente inútil. Pregunto por mi pedido y me da respuestas genéricas que no sirven para nada. Necesitan personas reales atendiendo, no bots.","Google Maps","Atención al Cliente","Automatización excesiva","Negativo","Fidelización",No
15,2024-03-20,Ana M.,3,"La calidad del producto es buena pero el precio ha subido bastante respecto al año pasado. La relación calidad-precio ya no es tan buena como antes.","Google Maps","Precio","Incremento de precios","Neutro","Ventas, Fidelización",No
